Game,Month,Day,Year,Photo
Absolute Drift,July,29,2015,//upload.wikimedia.org/wikipedia/en/thumb/a/ac/Absolute_drift_-_zen_edition.jpg/220px-Absolute_drift_-_zen_edition.jpg
Absolute Force Online,November,15,2012,//upload.wikimedia.org/wikipedia/en/thumb/3/3d/Absolute_Force_Online_cover_art.jpg/220px-Absolute_Force_Online_cover_art.jpg
Absolver,August,29,2017,//upload.wikimedia.org/wikipedia/en/thumb/c/c9/Absolver_logo.png/220px-Absolver_logo.png
Abyss Odyssey,July,28,2015,//upload.wikimedia.org/wikipedia/en/thumb/e/e3/Abyss_Odyssey_Cover_Art.png/220px-Abyss_Odyssey_Cover_Art.png
Abzû,August,2,2019,//upload.wikimedia.org/wikipedia/en/thumb/7/73/Abzu.jpg/220px-Abzu.jpg
Accel World vs. Sword Art Online: Millennium Twilight,September,12,2017,//upload.wikimedia.org/wikipedia/en/thumb/7/73/Abzu.jpg/220px-Abzu.jpg
Acceleration of Suguri X Edition,February,15,2011,//upload.wikimedia.org/wikipedia/en/thumb/2/2c/Acceleration_of_suguri_x_edition_logo.png/220px-Acceleration_of_suguri_x_edition_logo.png
Accounting (video game),October,18,2016,//upload.wikimedia.org/wikipedia/en/thumb/d/db/Accounting_-_Video_game_cover.jpg/220px-Accounting_-_Video_game_cover.jpg
Ace Combat 7: Skies Unknown,February,1,2019,//upload.wikimedia.org/wikipedia/en/thumb/2/22/Ace_Combat_7_Skies_Unknown_game_cover.jpg/220px-Ace_Combat_7_Skies_Unknown_game_cover.jpg
Ace Combat: Assault Horizon,January,24,2013,//upload.wikimedia.org/wikipedia/en/thumb/3/3d/Ace_Combat_Assault_Horizon.png/220px-Ace_Combat_Assault_Horizon.png
Ace Lightning,October,25,2002,//upload.wikimedia.org/wikipedia/en/thumb/3/3d/Ace_Combat_Assault_Horizon.png/220px-Ace_Combat_Assault_Horizon.png
Ace of Spades,December,12,2012,//upload.wikimedia.org/wikipedia/en/thumb/3/3d/Ace_Combat_Assault_Horizon.png/220px-Ace_Combat_Assault_Horizon.png
Ace Online,May,26,2006,//upload.wikimedia.org/wikipedia/en/thumb/9/9f/Ace_online_logo.PNG/220px-Ace_online_logo.PNG
Ace Ventura: The CD-Rom Game,October,31,1996,//upload.wikimedia.org/wikipedia/en/thumb/e/ed/Ace_Ventura_Coverart.png/220px-Ace_Ventura_Coverart.png
Aces High,May,8,2000,//upload.wikimedia.org/wikipedia/en/thumb/e/ed/Ace_Ventura_Coverart.png/220px-Ace_Ventura_Coverart.png
Aces of the Galaxy,June,4,2008,//upload.wikimedia.org/wikipedia/en/1/1a/Aces_of_the_Galaxy_cover.jpg
Aces of the Pacific,November,8,1992,//upload.wikimedia.org/wikipedia/en/thumb/b/b8/Aces_of_the_Pacific_Coverart.png/220px-Aces_of_the_Pacific_Coverart.png
Achron,August,29,2011,//upload.wikimedia.org/wikipedia/en/thumb/1/1b/Achron_Logo.png/220px-Achron_Logo.png
Achtung Panzer: Kharkov 1943,February,25,2010,//upload.wikimedia.org/wikipedia/en/thumb/1/1b/Achron_Logo.png/220px-Achron_Logo.png
Achtung Spitfire!,August,31,1997,//upload.wikimedia.org/wikipedia/en/e/eb/AchtungSpitfireBoxShotPC.jpg
Acrophobia (game),August,31,1997,//upload.wikimedia.org/wikipedia/en/e/eb/AchtungSpitfireBoxShotPC.jpg
Act of Aggression,September,2,2015,//upload.wikimedia.org/wikipedia/en/thumb/3/33/Act_of_Aggression_Cover_Art.jpg/220px-Act_of_Aggression_Cover_Art.jpg
Act of War: Direct Action,March,15,2005,//upload.wikimedia.org/wikipedia/en/thumb/6/63/Act_of_War_-_Direct_Action_Coverart.jpg/220px-Act_of_War_-_Direct_Action_Coverart.jpg
Act of War: High Treason,March,24,2006,//upload.wikimedia.org/wikipedia/en/1/12/ActofWarHighTreason%28PC%29.jpg
Action Quake 2,November,12,1998,//upload.wikimedia.org/wikipedia/commons/thumb/f/f7/Action_Quake_2_logo.jpg/220px-Action_Quake_2_logo.jpg
Activision Anthology,November,19,2002,//upload.wikimedia.org/wikipedia/en/thumb/5/5f/ActivisionAnthologyBox.jpg/220px-ActivisionAnthologyBox.jpg
Actua Golf 2,November,19,2002,//upload.wikimedia.org/wikipedia/en/thumb/5/50/Actua_Golf_2_cover_art.jpg/220px-Actua_Golf_2_cover_art.jpg
Actua Ice Hockey,November,19,2002,//upload.wikimedia.org/wikipedia/commons/5/5a/Actua_Sports_Logo.png
Actua Pool,November,19,2002,//upload.wikimedia.org/wikipedia/commons/5/5a/Actua_Sports_Logo.png
Actua Soccer,November,19,2002,//upload.wikimedia.org/wikipedia/en/thumb/7/73/Actua_Soccer_DOS_Cover.jpg/220px-Actua_Soccer_DOS_Cover.jpg
Ad Verbum,October,4,2000,//upload.wikimedia.org/wikipedia/en/thumb/b/b9/Ad-verbum-browser-front-cover.jpg/220px-Ad-verbum-browser-front-cover.jpg
AD&D Masterpiece Collection,October,4,2000,//upload.wikimedia.org/wikipedia/en/thumb/b/b2/AD%26D_Masterpiece_Collection_Cover.jpg/220px-AD%26D_Masterpiece_Collection_Cover.jpg
Adam's Venture,October,4,2000,//upload.wikimedia.org/wikipedia/en/thumb/b/b4/Adam%27s_Venture.jpg/220px-Adam%27s_Venture.jpg
Addiction Pinball,April,30,1998,//upload.wikimedia.org/wikipedia/en/thumb/6/67/Addiction_Pinball.jpg/220px-Addiction_Pinball.jpg
Adidas Power Soccer,April,30,1998,//upload.wikimedia.org/wikipedia/en/thumb/1/13/Adidas_Power_Soccer.jpg/220px-Adidas_Power_Soccer.jpg
Adrift (video game),March,28,2016,//upload.wikimedia.org/wikipedia/en/thumb/7/7f/Adrift.png/220px-Adrift.png
Advent Rising,May,31,2005,//upload.wikimedia.org/wikipedia/en/thumb/1/19/Adventrisingbox.jpg/220px-Adventrisingbox.jpg
Adventure at the Chateau d'Or,April,2,2001,//upload.wikimedia.org/wikipedia/en/thumb/a/ae/Adventure_at_the_Chateau_d%27Or_PC_Cover.jpg/220px-Adventure_at_the_Chateau_d%27Or_PC_Cover.jpg
AdVenture Capitalist,March,30,2015,//upload.wikimedia.org/wikipedia/en/thumb/0/0e/Adventure-capitalist-theres-a-new-iphone-game-that-lets-you-play-a-startup-investor-and-apple-keeps-promoting-it.png/220px-Adventure-capitalist-theres-a-new-iphone-game-that-lets-you-play-a-startup-investor-and-apple-keeps-promoting-it.png
Adventure Pinball: Forgotten Island,March,21,2001,//upload.wikimedia.org/wikipedia/en/thumb/a/ab/Adventure_pinball_-_coverart.png/220px-Adventure_pinball_-_coverart.png
Adventures of Pip,June,4,2015,//upload.wikimedia.org/wikipedia/en/thumb/2/29/Adventures_of_Pip_cover.png/220px-Adventures_of_Pip_cover.png
AdvertCity,April,17,2015,//upload.wikimedia.org/wikipedia/en/thumb/c/c1/Advertcity_cover.jpg/220px-Advertcity_cover.jpg
Africa Trail,April,17,2015,//upload.wikimedia.org/wikipedia/en/thumb/4/40/Africa_Trail_Coverart.png/220px-Africa_Trail_Coverart.png
After...,June,27,2003,//upload.wikimedia.org/wikipedia/en/thumb/4/40/Africa_Trail_Coverart.png/220px-Africa_Trail_Coverart.png
Afterlife,June,27,2003,//upload.wikimedia.org/wikipedia/en/thumb/4/40/Africa_Trail_Coverart.png/220px-Africa_Trail_Coverart.png
Afterparty,Oct,29,2017,//upload.wikimedia.org/wikipedia/en/thumb/4/40/Africa_Trail_Coverart.png/220px-Africa_Trail_Coverart.png
Agatha Christie: And Then There Were None,September,30,2005,//upload.wikimedia.org/wikipedia/en/thumb/a/a9/ATTWN_Box.jpg/220px-ATTWN_Box.jpg
Agatha Christie: Evil Under the Sun,October,16,2007,//upload.wikimedia.org/wikipedia/en/thumb/6/6f/Agatha_Christie_-_Evil_Under_the_Sun_Coverart.png/220px-Agatha_Christie_-_Evil_Under_the_Sun_Coverart.png
Agatha Christie: Murder on the Orient Express,November,14,2006,//upload.wikimedia.org/wikipedia/en/thumb/8/83/MOE_box.jpg/220px-MOE_box.jpg
Age of Booty,March,5,2009,//upload.wikimedia.org/wikipedia/en/5/51/AgeofBootybox.jpg
Age of Chivalry,September,10,2007,//upload.wikimedia.org/wikipedia/en/thumb/0/00/Age_of_Chivalry.png/220px-Age_of_Chivalry.png
Age of Conan,May,20,2008,//upload.wikimedia.org/wikipedia/en/thumb/7/75/Age_of_Conan_Hyborian_Adventures_cover.jpg/220px-Age_of_Conan_Hyborian_Adventures_cover.jpg
Age of Empires,October,15,1997,//upload.wikimedia.org/wikipedia/commons/thumb/c/cf/Aoe_fuchs.png/250px-Aoe_fuchs.png
Age of Empires: The Rise of Rome,October,31,1998,//upload.wikimedia.org/wikipedia/en/thumb/a/a6/Age_of_Empires_-_The_Rise_of_Rome_Coverart.jpg/220px-Age_of_Empires_-_The_Rise_of_Rome_Coverart.jpg
Age of Empires II: HD Edition,April,9,2013,//upload.wikimedia.org/wikipedia/en/6/6f/Age_of_Empires_II_HD_Edition_Windows.jpg
Age of Empires II: The African Kingdoms,April,9,2015,//upload.wikimedia.org/wikipedia/en/6/6f/Age_of_Empires_II_HD_Edition_Windows.jpg
Age of Empires II: The Age of Kings,September,30,1999,//upload.wikimedia.org/wikipedia/en/thumb/5/56/Age_of_Empires_II_-_The_Age_of_Kings_Coverart.png/220px-Age_of_Empires_II_-_The_Age_of_Kings_Coverart.png
Age of Empires II: The Conquerors,August,24,2000,//upload.wikimedia.org/wikipedia/en/thumb/6/6e/Age_of_Empires_II_-_The_Conquerors_Coverart.png/220px-Age_of_Empires_II_-_The_Conquerors_Coverart.png
Age of Empires II: The Forgotten,November,7,2013,//upload.wikimedia.org/wikipedia/en/thumb/8/89/Age_of_Empires_II_-_The_Forgotten_logo.png/220px-Age_of_Empires_II_-_The_Forgotten_logo.png
Age of Empires III,October,18,2005,//upload.wikimedia.org/wikipedia/en/thumb/9/9b/Aoeiii-cover.jpg/220px-Aoeiii-cover.jpg
Age of Empires III: The Asian Dynasties,November,2,2007,//upload.wikimedia.org/wikipedia/en/thumb/8/83/Age_of_Empires_III_The_Asian_Dynasties_Cover.jpg/220px-Age_of_Empires_III_The_Asian_Dynasties_Cover.jpg
Age of Empires III: The WarChiefs,October,7,2006,//upload.wikimedia.org/wikipedia/en/thumb/8/83/AgeIIITheWarChiefs.jpg/220px-AgeIIITheWarChiefs.jpg
Age of Mythology,October,30,2002,//upload.wikimedia.org/wikipedia/en/thumb/9/9d/Age_of_Mythology_Liner.jpg/220px-Age_of_Mythology_Liner.jpg
Age of Pirates: Captain Blood,October,30,2002,//upload.wikimedia.org/wikipedia/en/thumb/f/f7/Age_of_Pirates_Captain_Blood_logo.jpg/220px-Age_of_Pirates_Captain_Blood_logo.jpg
Age of Pirates: Caribbean Tales,September,12,2006,//upload.wikimedia.org/wikipedia/en/thumb/f/fd/Age_of_pirates_front.jpg/220px-Age_of_pirates_front.jpg
Age of Pirates 2: City of Abandoned Ships,May,26,2009,//upload.wikimedia.org/wikipedia/en/thumb/8/83/Age_of_Pirates_2_cover.jpg/220px-Age_of_Pirates_2_cover.jpg
Age of Wonders,October,31,1999,//upload.wikimedia.org/wikipedia/en/thumb/e/e5/Aowboxart.jpg/220px-Aowboxart.jpg
Age of Wonders II: The Wizard's Throne,June,12,2002,//upload.wikimedia.org/wikipedia/en/thumb/a/aa/Age_of_Wonders_II_-_The_Wizard%27s_Throne_Coverart.png/220px-Age_of_Wonders_II_-_The_Wizard%27s_Throne_Coverart.png
Age of Wonders III,March,31,2014,//upload.wikimedia.org/wikipedia/en/thumb/b/bd/Age_of_Wonders_III_Cover_Art.jpg/220px-Age_of_Wonders_III_Cover_Art.jpg
Age of Wonders: Shadow Magic,July,25,2003,//upload.wikimedia.org/wikipedia/en/thumb/e/e8/Age_of_Wonders_-_Shadow_Magic_Coverart.jpg/220px-Age_of_Wonders_-_Shadow_Magic_Coverart.jpg
AGEOD's American Civil War,June,26,2007,//upload.wikimedia.org/wikipedia/en/thumb/6/6a/Ageod%27s_American_Civil_War_Coverart.png/220px-Ageod%27s_American_Civil_War_Coverart.png
AGON,June,26,2007,//upload.wikimedia.org/wikipedia/en/thumb/8/82/AGON_logo.png/220px-AGON_logo.png
Ai Space,October,15,2008,//upload.wikimedia.org/wikipedia/en/thumb/b/b5/Ai_Sp%40ce_logo.png/220px-Ai_Sp%40ce_logo.png
Aion,November,25,2008,//upload.wikimedia.org/wikipedia/en/thumb/b/b5/Ai_Sp%40ce_logo.png/220px-Ai_Sp%40ce_logo.png
Air Assault Task Force,November,17,2006,//upload.wikimedia.org/wikipedia/en/thumb/7/70/Air_Assault_Task_Force.jpg/220px-Air_Assault_Task_Force.jpg
Air Conflicts: Secret Wars,September,30,2011,//upload.wikimedia.org/wikipedia/en/thumb/c/cc/Air_Conflicts_Secret_Wars_box_art.jpg/220px-Air_Conflicts_Secret_Wars_box_art.jpg
Air Conflicts: Vietnam,November,26,2013,//upload.wikimedia.org/wikipedia/en/thumb/1/1a/Air_Conflicts_Vietnam_box_art.jpg/220px-Air_Conflicts_Vietnam_box_art.jpg
Airscape: The Fall of Gravity,August,11,2015,//upload.wikimedia.org/wikipedia/en/thumb/e/e3/Airscape-TheFallofGravityImg.jpg/220px-Airscape-TheFallofGravityImg.jpg
Alan Wake,May,14,2010,//upload.wikimedia.org/wikipedia/en/thumb/1/1f/Alan_Wake_Game_Cover.jpg/220px-Alan_Wake_Game_Cover.jpg
Alien Swarm,July,19,2010,//upload.wikimedia.org/wikipedia/en/thumb/5/53/Alien_Swarm_Header.jpg/220px-Alien_Swarm_Header.jpg
Alpha Prime,May,25,2007,//upload.wikimedia.org/wikipedia/en/thumb/5/53/Alien_Swarm_Header.jpg/220px-Alien_Swarm_Header.jpg
Amnesia: The Dark Descent,August,8,2010,//upload.wikimedia.org/wikipedia/en/thumb/6/62/Amnesia-The-Dark-Descent-Cover-Art.png/220px-Amnesia-The-Dark-Descent-Cover-Art.png
Amnesia: A Machine for Pigs,September,10,2013,//upload.wikimedia.org/wikipedia/en/thumb/b/ba/Amnesiaamachineforpigscoverart.jpg/220px-Amnesiaamachineforpigscoverart.jpg
Anno 1503,March,23,2003,//upload.wikimedia.org/wikipedia/en/thumb/1/19/Anno_1503_cover.jpg/220px-Anno_1503_cover.jpg
Anno 1602,September,24,1998,//upload.wikimedia.org/wikipedia/en/thumb/3/32/Anno_1602_-_Creation_of_a_New_World_Coverart.png/220px-Anno_1602_-_Creation_of_a_New_World_Coverart.png
Anno 1701,November,3,2006,//upload.wikimedia.org/wikipedia/en/thumb/9/97/Anno_1701.jpg/220px-Anno_1701.jpg
Anno 2070,November,17,2011,//upload.wikimedia.org/wikipedia/en/thumb/7/76/Anno2070EuropeanBoxArtPC.jpg/220px-Anno2070EuropeanBoxArtPC.jpg
Anno 2205,November,3,2015,//upload.wikimedia.org/wikipedia/en/thumb/5/5b/Anno_2205_box_cover.jpg/220px-Anno_2205_box_cover.jpg
Anomaly: Warzone Earth,April,8,2011,//upload.wikimedia.org/wikipedia/en/thumb/a/a7/AnomalyWarzoneEarthTitleArt.jpg/220px-AnomalyWarzoneEarthTitleArt.jpg
Antichamber,January,31,2013,//upload.wikimedia.org/wikipedia/en/thumb/2/22/Antichamber_logo.png/220px-Antichamber_logo.png
Anubis II,July,14,2005,//upload.wikimedia.org/wikipedia/en/thumb/b/bb/Anubis_II.jpg/220px-Anubis_II.jpg
ARMA: Armed Assault,November,10,2006,//upload.wikimedia.org/wikipedia/en/thumb/f/f7/Arma_cover.jpg/220px-Arma_cover.jpg
ARMA 2,June,26,2009,//upload.wikimedia.org/wikipedia/en/thumb/b/bc/Arma-2-cover.jpg/220px-Arma-2-cover.jpg
ARMA 3,September,12,2013,//upload.wikimedia.org/wikipedia/commons/thumb/7/7f/ArmA_3_Logo_%28Black_Transparent%29_%28SVG%29.svg/220px-ArmA_3_Logo_%28Black_Transparent%29_%28SVG%29.svg.png
Assetto Corsa,November,8,2013,//upload.wikimedia.org/wikipedia/en/thumb/c/c8/Assetto_Corsa_cover.png/220px-Assetto_Corsa_cover.png
Astebreed,May,31,2014,//upload.wikimedia.org/wikipedia/en/thumb/b/ba/AstebreedImg.jpg/220px-AstebreedImg.jpg
AstroFire,May,31,2014,//upload.wikimedia.org/wikipedia/en/thumb/9/98/AstroFireImg.jpg/220px-AstroFireImg.jpg
Attack on Titan,February,18,2016,//upload.wikimedia.org/wikipedia/en/thumb/9/98/AstroFireImg.jpg/220px-AstroFireImg.jpg
Attack on Titan 2,March,15,2018,//upload.wikimedia.org/wikipedia/en/thumb/7/70/Attack_on_Titan_2_cover_art.jpg/220px-Attack_on_Titan_2_cover_art.jpg
Audiosurf,February,15,2008,//upload.wikimedia.org/wikipedia/en/thumb/7/77/Audiosurf_Boxart.png/220px-Audiosurf_Boxart.png
Audiosurf 2,October,2,2013,//upload.wikimedia.org/wikipedia/en/thumb/9/96/Audiosurf_2_header.jpg/220px-Audiosurf_2_header.jpg
Automation - The Car Company Tycoon Game,March,12,2015,//upload.wikimedia.org/wikipedia/en/thumb/7/7c/Automation%28VideoGame%29Img.jpg/275px-Automation%28VideoGame%29Img.jpg
Axis Assassin,March,12,2015,//upload.wikimedia.org/wikipedia/en/thumb/1/1d/Axis_Assassin.jpg/220px-Axis_Assassin.jpg
A Bastard's Tale,May,26,2015,//upload.wikimedia.org/wikipedia/en/thumb/7/72/ABastard%27sTaleImg.jpg/220px-ABastard%27sTaleImg.jpg
A Bird Story,November,7,2014,//upload.wikimedia.org/wikipedia/en/thumb/0/06/A_Bird_Story_logo.png/220px-A_Bird_Story_logo.png
A Blind Legend,April,7,2016,//upload.wikimedia.org/wikipedia/en/thumb/6/66/ABlindLegendImg.jpg/220px-ABlindLegendImg.jpg
A Bloody Night,May,23,2017,//upload.wikimedia.org/wikipedia/en/thumb/7/71/ABloodyNightImg.jpg/220px-ABloodyNightImg.jpg
A Boy and His Blob,January,19,2016,//upload.wikimedia.org/wikipedia/en/thumb/9/96/A_Boy_and_His_Blob_%282009_video_game%29.jpg/220px-A_Boy_and_His_Blob_%282009_video_game%29.jpg
A Butterfly in the District of Dreams,May,12,2017,//upload.wikimedia.org/wikipedia/en/thumb/2/28/AButterflyintheDistrictofDreams_Img.jpg/220px-AButterflyintheDistrictofDreams_Img.jpg
A Chair in a Room: Greenwater,April,5,2016,//upload.wikimedia.org/wikipedia/en/thumb/1/1c/AChairinaRoom-GreenwaterImg.jpg/220px-AChairinaRoom-GreenwaterImg.jpg
A City Sleeps,October,16,2014,//upload.wikimedia.org/wikipedia/en/thumb/1/1e/A_city_sleeps_steam_store_card.jpg/220px-A_city_sleeps_steam_store_card.jpg
A Date in the Park,February,14,2015,//upload.wikimedia.org/wikipedia/en/thumb/1/1e/A_city_sleeps_steam_store_card.jpg/220px-A_city_sleeps_steam_store_card.jpg
A Day in the Woods,October,28,2011,//upload.wikimedia.org/wikipedia/en/thumb/1/1e/A_city_sleeps_steam_store_card.jpg/220px-A_city_sleeps_steam_store_card.jpg
A dead world's dream,September,20,2016,//upload.wikimedia.org/wikipedia/en/thumb/1/1e/A_city_sleeps_steam_store_card.jpg/220px-A_city_sleeps_steam_store_card.jpg
A Demon's Game: Episode 1,December,19,2016,//upload.wikimedia.org/wikipedia/en/thumb/3/3a/ADemon%27sGame%2CEpisode1Img.jpeg/250px-ADemon%27sGame%2CEpisode1Img.jpeg
A Detective's Novel,July,28,2016,//upload.wikimedia.org/wikipedia/en/thumb/3/3a/ADemon%27sGame%2CEpisode1Img.jpeg/250px-ADemon%27sGame%2CEpisode1Img.jpeg
A dragon girl looks up at the endless sky,October,27,2016,//upload.wikimedia.org/wikipedia/en/thumb/3/3a/ADemon%27sGame%2CEpisode1Img.jpeg/250px-ADemon%27sGame%2CEpisode1Img.jpeg
A Druid's Duel,February,25,2015,//upload.wikimedia.org/wikipedia/en/thumb/3/3a/ADemon%27sGame%2CEpisode1Img.jpeg/250px-ADemon%27sGame%2CEpisode1Img.jpeg
A Duel Hand Disaster: Trackher,August,29,2017,//upload.wikimedia.org/wikipedia/en/thumb/2/2d/ADuelHandDisaster%2CTrackherImg.jpeg/220px-ADuelHandDisaster%2CTrackherImg.jpeg
Baldur's Gate,December,21,1998,//upload.wikimedia.org/wikipedia/en/thumb/d/d0/Baldur%27s_Gate_box.PNG/220px-Baldur%27s_Gate_box.PNG
Baldur's Gate: Tales of the Sword Coast,April,30,1999,//upload.wikimedia.org/wikipedia/en/thumb/f/fb/ToSC_front.jpg/220px-ToSC_front.jpg
Baldur's Gate II: Shadows of Amn,September,24,2000,//upload.wikimedia.org/wikipedia/en/thumb/1/17/Baldur%27s_Gate_II_-_Shadows_of_Amn_Coverart.png/220px-Baldur%27s_Gate_II_-_Shadows_of_Amn_Coverart.png
Baldur's Gate II: Throne of Bhaal,September,24,2000,//upload.wikimedia.org/wikipedia/en/thumb/5/55/Throne_of_Bhaal_front.jpg/220px-Throne_of_Bhaal_front.jpg
Banished,February,18,2014,//upload.wikimedia.org/wikipedia/en/thumb/5/55/Throne_of_Bhaal_front.jpg/220px-Throne_of_Bhaal_front.jpg
Bastion,August,16,2011,//upload.wikimedia.org/wikipedia/en/thumb/5/55/Throne_of_Bhaal_front.jpg/220px-Throne_of_Bhaal_front.jpg
Batman: Arkham Asylum,September,15,2009,//upload.wikimedia.org/wikipedia/en/thumb/4/42/Batman_Arkham_Asylum_Videogame_Cover.jpg/220px-Batman_Arkham_Asylum_Videogame_Cover.jpg
Batman: Arkham City,October,18,2011,//upload.wikimedia.org/wikipedia/en/thumb/0/00/Batman_Arkham_City_Game_Cover.jpg/220px-Batman_Arkham_City_Game_Cover.jpg
Batman: Arkham Knight,June,2,2015,//upload.wikimedia.org/wikipedia/en/thumb/6/6c/Batman_Arkham_Knight_Cover_Art.jpg/220px-Batman_Arkham_Knight_Cover_Art.jpg
Batman: Arkham Origins,October,25,2013,//upload.wikimedia.org/wikipedia/en/thumb/4/4d/Batman-Arkham-Origins-Box-Art.jpg/220px-Batman-Arkham-Origins-Box-Art.jpg
BattleBlock Theater,May,15,2014,//upload.wikimedia.org/wikipedia/en/thumb/5/59/Battleblockcover.png/220px-Battleblockcover.png
Battlefield 1942,September,10,2002,//upload.wikimedia.org/wikipedia/en/thumb/2/27/Battlefield_1942_Box_Art.jpg/220px-Battlefield_1942_Box_Art.jpg
Battlefield 1942: The Road to Rome,February,2,2003,//upload.wikimedia.org/wikipedia/en/thumb/6/6b/Battlefield_1942-_The_Road_to_Rome.jpg/220px-Battlefield_1942-_The_Road_to_Rome.jpg
Battlefield 1942: Secret Weapons of WWII,September,4,2003,//upload.wikimedia.org/wikipedia/en/thumb/f/f1/SecretWeaponsCover.png/220px-SecretWeaponsCover.png
Battlefield 2,June,21,2005,//upload.wikimedia.org/wikipedia/en/thumb/6/62/Battlefield2Cover.jpg/220px-Battlefield2Cover.jpg
Battlefield 2142,October,17,2006,//upload.wikimedia.org/wikipedia/en/thumb/3/30/Battlefield_2142_box_art.jpg/220px-Battlefield_2142_box_art.jpg
Battlefield 3,October,25,2011,//upload.wikimedia.org/wikipedia/en/thumb/6/69/Battlefield_3_Game_Cover.jpg/220px-Battlefield_3_Game_Cover.jpg
Battlefield 4,October,29,2013,//upload.wikimedia.org/wikipedia/en/thumb/7/75/Battlefield_4_cover_art.jpg/220px-Battlefield_4_cover_art.jpg
Battlefield Heroes,June,25,2009,//upload.wikimedia.org/wikipedia/en/thumb/3/3b/Battlefield_Heroes_-_logo.png/220px-Battlefield_Heroes_-_logo.png
Battlefield Play4Free,April,4,2011,//upload.wikimedia.org/wikipedia/en/thumb/9/9b/Battlefield_play4free_cover.jpg/220px-Battlefield_play4free_cover.jpg
Battlefield V,October,19,2018,//upload.wikimedia.org/wikipedia/en/thumb/f/f0/Battlefield_V_standard_edition_box_art.jpg/220px-Battlefield_V_standard_edition_box_art.jpg
Battleforge,March,23,2009,//upload.wikimedia.org/wikipedia/en/thumb/c/cd/Battleforge_cover.jpg/220px-Battleforge_cover.jpg
Battleground 2: Gettysburg,December,31,1995,//upload.wikimedia.org/wikipedia/en/thumb/8/81/Battleground_2_-_Gettysburg_Coverart.png/220px-Battleground_2_-_Gettysburg_Coverart.png
Battleground 3: Waterloo,May,31,1996,//upload.wikimedia.org/wikipedia/en/thumb/3/3b/Battleground_3_-_Waterloo_Coverart.png/220px-Battleground_3_-_Waterloo_Coverart.png
Battleground 4: Shiloh,January,31,1996,//upload.wikimedia.org/wikipedia/en/thumb/1/10/Battleground_4_-_Shiloh_Coverart.png/220px-Battleground_4_-_Shiloh_Coverart.png
Battleground 5: Antietam,December,31,1996,//upload.wikimedia.org/wikipedia/en/thumb/1/10/Battleground_4_-_Shiloh_Coverart.png/220px-Battleground_4_-_Shiloh_Coverart.png
Battleground 6: Napoleon in Russia,March,30,1997,//upload.wikimedia.org/wikipedia/en/thumb/1/10/Battleground_4_-_Shiloh_Coverart.png/220px-Battleground_4_-_Shiloh_Coverart.png
Battleground 7: Bull Run,March,30,1997,//upload.wikimedia.org/wikipedia/en/thumb/1/10/Battleground_4_-_Shiloh_Coverart.png/220px-Battleground_4_-_Shiloh_Coverart.png
Battleground 8: Prelude to Waterloo,March,30,1997,//upload.wikimedia.org/wikipedia/en/thumb/1/10/Battleground_4_-_Shiloh_Coverart.png/220px-Battleground_4_-_Shiloh_Coverart.png
